acadm_term	acadm_year	authorize_p	authorize_r	authorize_using	brief_eng	cancel	chn_name	class_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	deleteQ	dept_chiabbr	dept_code	dept_engfull	dept_group	dept_group_name	emi	eng_name	eng_teach	exp_hours	fillcounter	for_query	form_s	form_s_name	full_flag	gender_restrict	hours	iCounter	intensive	limit	limit_count_h	moocs_teach	not_choose	option_code	percentage	restrict	rt	school_avg	scoreEnt	selfTeach	selfTeachName	send_time	serial_no	status	tcode	teacher	time_inf	tname	umd	week_section1	week_section2	week_section3	week_section4	generalCore
3	113	10	0.20				幽默心理學			◎第1期  ◎第二類課程   【第一期】    授課教師為：蔡孟寧老師。				PCU0112		半	2.0		心輔系（學）	EU01					Humor Psychology											Y	0	50			選			N						0056			蔡孟寧	◎密集課程							
3	113	10	0.20				諮商技術 </br>[ 學分學程：PASSION偏鄉教育學程 高齡學程 ]			◎第1期  ◎第一類課程   【第一期】				PCU0131		半	3.0		心輔系（學）	EU01					Techniques of Counseling </br>[ Program: The Program of PASSION Quality Education in Rural Schools The program of Cultivating Seniors Service Talent in Community ]											Y	0	50			必		◎必須先修過【PCU0130  諮商理論】	N						0057			張祐誠	◎密集課程							
3	113	10	0.20				創造力心理學 </br>[ 學分學程：音樂輔教學程 ]			◎第1期  ◎第一類課程 【第一期】				PCU0143		半	2.0		心輔系（學）	EU01					Creativity Psychology </br>[ Program: The Program of Music-assisted Guidance and Special Education ]											Y	0	50			選			N						0058			張雨霖	◎密集課程							
3	113	10	0.20				自我覺察與成長			◎第2期  ◎第一類課程   【第二期】				PCU0180		半	2.0		心輔系（學）	EU01					Self-Awareness and Growth											Y	0	50			選			N						0059			傅筑君	◎密集課程							
3	113	10	0.20				組織心理學			◎第2期  ◎第二類課程   【Summer Session 2】    授課教師為：林佳樺老師。				PCU0183		半	2.0		心輔系（學）	EU01					Organizational Psychology	是										Y	0	50			選			N						0060			林佳樺	◎密集課程							
3	113	10	0.20				病人衛生教育			◎第2期  ◎第二類課程 【第二期】				HEU0063		半	2.0		衛教系（學）	EU05					Patient Health Education											Y	0	50			選			N						0061			張家臻	◎密集課程							
3	113	10	0.20				休閒生活			◎第1期  ◎第一類課程 【第一期】				HEU0112		半	2.0		衛教系（學）	EU05					Leisure Life											Y	0	50			選			N						0062			林宗毅	◎密集課程							
3	113	10	0.20				衛生管理實務			◎第2期  ◎第二類課程 【第二期】				HEU0183		半	3.0		衛教系（學）	EU05					Practice of Health Management											Y	0	50			選			N						0063			曾治乾	◎密集課程							
3	113	10	0.20				法學緒論			◎第1期  ◎第一類課程 【第一期】				CEU0004		半	2.0		公領系（學）	EU07					Introduction to Jurisprudence											Y	0	50			必			N						0064			林安邦	◎密集課程							
3	113	3	0.07				公共人力資源管理			◎第1期  ◎第二類課程 【第一期】				CEU0491		半	2.0		公領系（學）	EU07					Public Human Resource Management											Y	0	45			選			N						0065			曾冠球	◎密集課程							
